,0,1
1911,للمباقاة لها والتنبيه,للمُباقاة لها والتنبيه
1912,عليها مجرى إخراج,عليها مَجْرى إِخراج
1913,بعض المعتل على,بعض المُعْتَلِّ على
1914,أصله نحو استحوذ,أَصله نحو استَحْوَذَ
1915,وضننوا ومجرى إعمال,وضَنِنُوا ومَجرى إِعمال
1916,صغته وعدته وإن,صُغْتُه وعُدْتُه وإِن
1917,كان قد نقل,كان قد نُقِل
1918,إلى فعلت لما,إِلى فَعُلْت لما
1919,كان أصله فعلت,كان أَصله فَعَلْت
1920,وعلى ذلك أنث,وعلى ذلك أَنَّث
1921,بعضهم فقال خصمة,بعضُهم فقال خَصْمة
1922,وضيفة وجمع فقال,وضَيْفة وجَمَع فقال
1923,يا عين هلا,يا عَيْنُ هَلاَّ
1924,بكيت أربد إذ,بَكَيْتِ أَرْبَدَ إِذ
1925,قمنا وقام الخصوم,قُمْنا وقامَ الخُصومُ
1926,في كبد وعليه,في كَبَد وعليه
1927,قول الآخر إذا,قول الآخر إِذا
1928,نزل الأضياف كان,نزَلَ الأَضْيافُ كان
1929,عذورا على الحي,عَذَوَّراً على الحَيِّ
1930,حتى تستقل مراجله,حتى تَسْتَقِلَّ مَراجِلُه
1931,والعدالة والعدولة والمعدلة,والعَدالة والعُدولة والمَعْدِلةُ
1932,والمعدلة كله العدلوتعديل,والمَعْدَلةُ كلُّه العَدْلوتعديل
1933,الشهود أن تقول,الشهود أَن تقول
1934,إنهم الحكم أقامهوعدل,إِنهم الحُكْمَ أَقامهوعَدَّلَ
1935,الرجل والعدلة المزكون,الرجلَ والعُدَلةُ المُزَكُّون
1936,الأخيرة عن ابن,الأَخيرة عن ابن
1937,الأعرابي قال القرملي,الأَعرابي قال القُرْمُليُّ
1938,سألت عن فلان,سأَلت عن فلان
1939,العدلة أي الذين,العُدَلة أَي الذين
1940,أبو زيد يقال,أَبو زيد يقال
1941,رجل عدلة وقوم,رجل عُدَلة وقوم
1942,عدلة أيضا وهم,عُدَلة أَيضاً وهم
1943,الذين يزكون الشهود,الذين يُزَكُّون الشهودَ
1944,وهم عدول وقد,وهم عُدُولٌ وقد
1945,عدل الرجل بالضم,عَدُلَ الرجلُ بالضم
1946,عدالةوقوله تعالى وأشهدوا,عَدالةًوقوله تعالى وأَشهِدوا
1947,ذوي عدل منكم,ذَوَيْ عَدْلٍ منكم
1948,المسيب ذوي عقل,المسيب ذَوَيْ عَقْل
1949,وقال إبراهيم العدل,وقال إِبراهيم العَدْلُ
1950,الذي لم تظهر,الذي لم تَظْهَر
1951,منه ريبةوكتب عبد,منه رِيبةٌوكَتَب عبدُ
1952,الملك إلى سعيد,الملك إِلى سعيد
1953,بن جبير يسأله,بن جُبَير يسأَله
1954,عن العدل فأجابه,عن العَدْل فأَجابه
1955,إن العدل على,إِنَّ العَدْلَ على
1956,أربعة أنحاء العدل,أَربعة أَنحاء العَدْل
1957,الله تعالى وإن,الله تعالى وإِن
1958,حكمت قوله قال,حَكَمْتَ قوله قال
1959,بالقسط فاحكم بينهم,بالقسط فاحْكُمْ بينهم
1960,الله تعالى وإذا,الله تعالى وإِذا
1961,قلتم فاعدلوا والعدل,قُلْتُم فاعْدِلوا والعَدْل
1962,الفدية قال الله,الفِدْية قال الله
1963,يقبل منها عدلوالعدل,يُقْبَل منها عَدْلٌوالعَدْل
1964,في الإشراك قال,في الإِشْراك قال
1965,بربهم يعدلون أي,برَبِّهم يَعْدِلون أَي
1966,يشركونوأما قوله تعالى,يُشْرِكونوأَما قوله تعالى
1967,ولن تستطيعوا أن,ولن تَسْتَطِيعوا أَن
1968,تعدلوا بين النساء,تَعْدِلوا بين النساء
1969,ولو حرصتم قال,ولو حَرَصْتُم قال
1970,عبيدة السلماني والضحاك,عبيدة السَّلماني والضَّحَّاك
1971,في الحب والجماعوفلان,في الحُبِّ والجِماعوفلان
1972,يعدل فلانا أي,يَعْدِل فلاناً أَي
1973,يساويهويقال ما يعدلك,يُساوِيهويقال ما يَعْدِلك
1974,عندنا شيء أي,عندنا شيءٌ أَي
1975,ما يقع عندنا,ما يقَع عندنا
1976,شيء الموازين والمكاييل,شيءٌ المَوازِينَ والمَكاييلَ
1977,الشيء يعدله عدلا,الشيءَ يَعْدِلُه عَدْلاً
1978,وعادله بين الشيئين,وعادَله بين الشيئين
1979,وعدلت فلانا بفلان,وعَدَلْت فلاناً بفلان
1980,إذا سويت الشيء,إِذا سَوَّيْت الشيء
1981,تقويمه وقيل العدل,تقويمُه وقيل العَدْلُ
1982,تقويمك الشيء بالشيء,تَقويمُك الشيءَ بالشيءِ
1983,والعدل والعديل سواء,والعِدْلُ والعَدِيلُ سَواءٌ
1984,أي النظير والمثيل,أَي النَّظِير والمَثِيل
1985,وقيل هو المثل,وقيل هو المِثْلُ
1986,وليس بالنظير عينه,وليس بالنَّظِير عَيْنه
1987,وفي التنزيل أو,وفي التنزيل أَو
1988,عدل ذلك صياما,عَدْلُ ذلك صِياماً
1989,قال مهلهلعلى أن,قال مُهَلْهِلعلى أَنْ
1990,ليس عدلا من,ليْسَ عِدْلاً من
1991,كليب إذا برزت,كُلَيْبٍ إِذا بَرَزَتْ
1992,مخبأة الخدور والعدل,مُخَبَّأَةُ الخُدُور والعَدْلُ
1993,بالفتح أصله مصدر,بالفتح أَصله مصدر
1994,قولك عدلت بهذا,قولك عَدَلْت بهذا
1995,عدلا حسنا تجعله,عَدْلاً حَسَنًا تجعله
1996,اسما للمثل لتفرق,اسماً للمِثْل لِتَفْرُق
1997,بينه وبين عدل,بينه وبين عِدْل
1998,المتاع كما قالوا,المَتاع كما قالوا
1999,امرأة رزان وعجز,امرأَة رَزانٌ وعَجُزٌ
2000,رزين الذي يعادلك,رَزِينٌ الذي يُعادِلك
2001,في الوزن والقدر,في الوَزْن والقَدر
2002,في العديل أن,في العَدِيل أَن
2003,يكون إنسانا مثله,يكون إِنساناً مثله
2004,وفرق سيبويه بين,وفَرَق سيبويه بين
2005,العديل والعدل فقال,العَدِيل والعِدْل فقال
2006,العديل من عادلك,العَدِيلُ من عادَلَك
2007,من الناس والعدل,من الناس والعِدْلُ
2008,لا يكون إلا,لا يكون إِلاَّ
2009,للمتاع خاصة فبين,للمتاع خاصَّة فبَيَّن
2010,أن عديل الإنسان,أَنَّ عَدِيل الإِنسان
2011,لا يكون إلا,لا يكون إِلاَّ
2012,إنسانا مثله وأن,إِنساناً مثله وأَنَّ
2013,العدل لا يكون,العِدْل لا يكون
2014,إلا للمتاع وأجاز,إِلاَّ للمتاع وأَجاز
2015,غيره أن يقال,غيرُه أَن يقال
2016,عندي عدل غلامك,عندي عِدْلُ غُلامِك
2017,أي مثله وعدله,أَي مِثْله وعَدْلُه
2018,قيمتهوفي حديث قارئ,قيمتُهوفي حديث قارئ
2019,ما هناوصاحب الصدقة,ما هناوصاحب الصَّدَقة
2020,فقال ليست لهما,فقال ليْسَتْ لهما
2021,بعدل هو المثل,بعَدْل هو المِثْل
2022,قال ابن الأثير,قال ابن الأَثير
2023,عادله من جنسه,عادَله من جنسه
2024,بالعكس وقول الأعلم,بالعكس وقول الأَعلم
2025,متى ما تلقني,مَتى ما تَلْقَني
2026,ومعي سلاحي تلاق,ومَعي سِلاحِي تُلاقِ
2027,الموت ليس له,المَوْتَ لَيْس له
2028,عديل يقول كأن,عَدِيلُ يقول كأَنَّ
2029,عديل الموت فجأته,عَدِيلَ الموت فَجْأَتُه
2030,يريد لا منجى,يريد لا مَنْجَى
2031,منه والجمع أعدال,منه والجمع أَعْدالٌ
2032,الرجل في المحمل,الرجلَ في المَحْمِل
2033,وعادله ركب معهوفي,وعَادَلَهُ رَكِب معهوفي
2034,حديث جابر إذا,حديث جابر إِذا
2035,جاءت عمتي بأبي,جاءت عَمَّتي بأَبي
2036,وخالي مقتولين عادلتهما,وخالي مَقْتولَيْنِ عادَلْتُهما
2037,على ناضح أي,على ناضِحٍ أَي
2038,شددتهما على جنبي,شَدَدْتُهما على جَنْبَي
2039,البعير المعادل لكوالعدل,البَعير المُعادِلُ لكوالعِدْل
2040,نصف الحمل يكون,نِصْف الحِمْل يكون
2041,على أحد جنبي,على أَحد جنبي
2042,البعير وقال الأزهري,البعير وقال الأَزهري
2043,العدل اسم حمل,العِدْل اسم حِمْل
2044,معدول بحمل أي,مَعْدُولٍ بحِمْلٍ أَي
2045,مسوى به والجمع,مُسَوًّى به والجمع
2046,أعدال وعدول عن,أَعْدالٌ وعُدُولٌ عن
2047,قوله تعالى أو,قوله تعالى أَو
2048,عدل ذلك صياما,عَدْل ذلك صياماً
2049,قال العدل ما,قال العَدْلُ ما
2050,عادل الشيء من,عادَلَ الشيءَ من
2051,أي فداء ذلكوالعدل,أَي فِداءُ ذلكوالعِدْلُ
2052,المثل مثل الحمل,المِثْل مِثْل الحِمْل
2053,وذلك أن تقول,وذلك أَن تقول
2054,عندي عدل غلامك,عندي عِدْلُ غُلامِك
2055,وعدل شاتك إذا,وعِدْلُ شاتك إِذا
2056,كانت شاة تعدل,كانت شاةٌ تَعْدِل
2057,شاة أو غلام,شاةً أَو غلامٌ
2058,يعدل غلاما فإذا,يَعْدِل غلاماً فإِذا
2059,أردت قيمته من,أَردت قيمته من
2060,غير جنسه نصبت,غير جنسه نَصَبْت
2061,العين فقلت عدل,العَيْن فقلت عَدْل
2062,وربما كسرها بعض,وربما كَسَرها بعضُ
2063,العرب عدله وكأنه,العرب عِدْله وكأَنَّه
2064,منهم غلط لتقارب,منهم غلطٌ لتَقارُب
2065,معنى العدل من,معنى العَدْل من
2066,العدل وقد أجمعوا,العِدْل وقد أَجمعوا
2067,على أن واحد,على أَن واحد
2068,الأعدال عدل قال,الأَعدال عِدْل قال
2069,ونصب قوله صياما,ونُصِب قوله صياماً
2070,على التفسير كأنه,على التفسير كأَنَّه
2071,عدل ذلك من,عَدْلُ ذلك من
2072,الصيام وكذلك قوله,الصِّيام وكذلك قوله
2073,ملء الأرض ذهبا,مِلْء الأَرضِ ذَهباً
2074,وقال الزجاج العدل,وقال الزجاج العَدْلُ
2075,والعدل واحد في,والعِدْلُ واحد في
2076,معنى المثل قال,معنى المِثْل قال
2077,المثل من الجنس,المِثْلُ من الجنس
2078,أو من غير,أَو من غير
2079,الجنس قال أبو,الجنس قال أَبو
2080,إسحق ولم يقولوا,إِسحق ولم يقولوا
2081,إن العرب غلطت,إِن العرب غَلِطَت
2082,وليس إذا أخطأ,وليس إِذا أَخطأَ
2083,مخطئ وجب أن,مُخْطِئٌ وجَب أَن
2084,يقول إن بعض,يقول إِنَّ بعض
2085,العرب غلطوقرأ ابن,العرب غَلِطوقرأَ ابن
2086,عامر أو عدل,عامر أَو عِدْلُ
2087,ذلك صياما بكسر,ذلك صِياماً بكسر
2088,العين وقرأها الكسائي,العين وقرأَها الكسائي
2089,وأهل المدينة بالفتحوشرب,وأَهل المدينة بالفتحوشَرِبَ
2090,حتى عدل أي,حتى عَدَّل أَي
2091,صار بطنه كالعدل,صار بطنه كالعِدْل
2092,وامتلأ قال الأزهري,وامْتَلأ قال الأَزهري
2093,وكذلك عدن وأون,وكذلك عَدَّنَ وأَوَّنَ
2094,بمعناهووقع المصطرعان عدلي,بمعناهووقع المُصْطَرِعانِ عِدْلَيْ
2095,بعير أي وقعا,بعيرٍ أَي وَقَعا
2096,معا ولم يصرع,مَعاً ولم يَصْرَع
2097,أحدهما الغرارتان لأن,أَحدُهما الغِرَارتانِ لأَن
2098,تعادل صاحبتها الأصمعي,تُعادِل صاحبتَها الأَصمعي
2099,يقال عدلت الجوالق,يقال عَدَلْت الجُوالِقَ
2100,على البعير أعدله,على البعير أَعْدِله
2101,عدلا يحمل على,عَدْلاً يُحْمَل على
2102,جنب البعير ويعدل,جَنْب البعير ويُعْدَل
2103,بآخر ابن الأعرابي,بآخر ابن الأَعرابي
2104,العدل محرك تسوية,العَدَلُ محرّكٌ تسوية
2105,الأونين وهما عدلت,الأَوْنَيْن وهما عَدَلْت
2106,أمتعة البيت إذا,أَمتعةَ البيت إِذا
2107,جعلتها أعدالا مستوية,جَعَلْتها أَعدالاً مستوية
2108,للاعتكام يوم الذي,للاعْتِكام يومَ الذي
2109,يعادلك في توسط,يُعادِلُك في تَوَسُّطُ
2110,حال بين حالين,حالٍ بين حالَيْن
2111,في كم أو,في كَمٍّ أَو
2112,كيف كقولهم جسم,كَيْفٍ كقولهم جِسْمٌ
2113,معتدل بين الطول,مُعْتَدِلٌ بين الطُّول
2114,والقصر وماء معتدل,والقِصَر وماء مُعْتَدِلٌ
2115,بين البارد والحار,بين البارد والحارِّ
2116,ويوم معتدل طيب,ويوم مُعْتَدِلٌ طيِّب
2117,الهواء ضد معتذل,الهواء ضدُّ مُعْتَذِل
2118,بالذال المعجمةوكل ما,بالذال المعجمةوكلُّ ما
2119,تناسب فقد اعتدل,تَناسَبَ فقد اعْتَدَل
2120,وكل ما أقمته,وكلُّ ما أَقَمْته
2121,فقد عدلتهوزعموا أن,فقد عَدَلْتهوزعموا أَن
2122,الذي جعلني في,الذي جَعَلَني في
2123,قوم إذا ملت,قَوْمٍ إِذا مِلْتُ
2124,عدلوني كما يعدل,عَدَلُوني كما يُعْدَل
2125,السهم في الثقاف,السَّهْم في الثِّقافِ
2126,أي قوموني قال,أَي قَوَّمُوني قال
2127,صبحت بها القوم,صَبَحْتُ بها القَوْمَ
2128,حتى امتسكـ ـت,حتى امْتَسَكْـ ـتُ
2129,بالأرض أعدلها أن,بالأَرض أَعْدِلُها أَن
2130,تميلا وعدله كعدلهوإذا,تَمِيلا وعَدَّلَه كعَدَلَهوإِذا
2131,مال شيء قلت,مالَ شيءٌ قلت
2132,عدلته أي أقمته,عَدَلته أَي أَقمته
2133,فاعتدل أي استقامومن,فاعْتَدَل أَي استقامومن
2134,قرأ قول الله,قرأَ قول الله
2135,عز وجل خلقك,عز وجل خَلَقَكَ
2136,فسواك فعدلك بالتخفيف,فَسوّاك فَعَدَلك بالتخفيف
2137,في أي صورة,في أَيِّ صورةٍ
2138,الفراء من خفف,الفراءُ من خَفَّف
2139,فوجهه والله أعلم,فَوجْهُه والله أَعلم
2140,فصرفك إلى أي,فَصَرَفك إِلى أَيِّ
2141,إما حسن وإما,إِمَّا حَسَنٍ وإِمَّا
2142,قبيح وإما طويل,قبيح وإِمَّا طَويل
2143,وإما قصير وهي,وإِمَّا قَصير وهي
2144,قراءة عاصم والأخفش,قراءة عاصم والأَخفش
2145,وقيل أراد عدلك,وقيل أَراد عَدَلك
2146,من الكفر إلى,من الكفر إِلى
2147,الإيمان وهي نعمة,الإِيمان وهي نِعْمة
2148,نعمتان ومن قرأ,نعمتان ومن قرأَ
2149,فعدلك فشدد قال,فعَدَّلك فشَدَّد قال
2150,الأزهري وهو أعجب,الأَزهري وهو أَعجبُ
2151,الوجهين إلى الفراء,الوجهين إِلى الفراء
2152,وأجودهما في العربية,وأَجودُهما في العربية
2153,فمعناه قومك وجعلك,فمعناه قَوَّمك وجَعَلَك
2154,معتدلا معدل الخلق,مُعْتدلاً مُعَدَّل الخَلْق
2155,وأهل الحجاز قال,وأَهل الحجاز قال
2156,واخترت عدلك لأن,واخْتَرْت عَدَّلك لأَنَّ
2157,أقوى في العربية,أَقوى في العربية
2158,من أن تكون,من أَن تكون
2159,في العدل لأنك,في العَدْل لأَنك
2160,تقول عدلتك إلى,تقول عَدَلْتك إِلى
2161,كذا وصرفتك إلى,كذا وصَرَفتك إِلى
2162,كذا وهذا أجود,كذا وهذا أَجودُ
2163,أن تقول عدلتك,أَن تقول عَدَلْتك
2164,فيه وصرفتك فيه,فيه وصَرَفْتك فيه
2165,من قرأ فعدلك,من قرأَ فَعَدَلك
2166,بالتخفيف إنه بمعنى,بالتخفيف إِنه بمعنى
2167,فسواك وقومك من,فَسَوّاك وقَوَّمك من
2168,قولك عدلت الشيء,قولك عَدَلْت الشيء
2169,فاعتدل أي سويته,فاعْتَدل أَي سَوّيْته
2170,فاستوى ومنه قولهوعدلنا,فاسْتَوَى ومنه قولهوعَدَلْنا
2171,ميل بدر فاعتدل,مَيْلَ بَدْر فاعْتَدَل
2172,أي قومناه فاستقام,أَي قَوَّمْناه فاستقام
2173,وكل مثقف الشيء,وكلُّ مُثَقَّفٍ الشيءَ
2174,بالشيء أعدله عدولا,بالشيء أَعْدِلُه عُدولاً
2175,إذا ساويته به,إِذا ساويته به
2176,قال شمر وأما,قال شَمِر وأَما
2177,قول الشاعر أفذاك,قول الشاعر أَفَذاكَ
2178,أم هي في,أَمْ هِي في
2179,النجا ء لمن,النَّجا ءِ لِمَنْ
2180,يقارب أو يعادل,يُقارِبُ أَو يُعادِل
2181,يعني يعادل بي,يعني يُعادِلُ بي
2182,ناقته الشعر اتزن,ناقته الشِّعْرُ اتَّزَنَ
2183,واستقام وعدلته أناومنه,واستقام وعَدَّلْته أَناومنه
2184,قول أبي علي,قول أَبي علي
2185,الفارسي لأن المراعى,الفارسي لأَن المُرَاعى
2186,في الشعر إنما,في الشِّعْر إِنما
2187,هو تعديل القسام,هو تعديل القَسَّامُ
2188,الأنصباء للقسم بين,الأَنْصِباءَ للقَسْمِ بين
2189,الشركاء إذا سواها,الشُّركاء إِذا سَوّاها
2190,على القيموفي الحديث,على القِيَموفي الحديث
2191,العلم ثلاثة منها,العِلْم ثلاثة منها
2192,فريضة عادلة أراد,فَرِيضةٌ عادِلَةٌ أَراد
2193,العدل في القسمة,العَدْل في القِسْمة
2194,أي معدلة على,أَي مُعَدَّلة على
2195,السهام المذكورة في,السِّهام المذكورة في
2196,الكتاب والسنة من,الكتاب والسُّنَّة من
2197,غير جور ويحتمل,غير جَوْر ويحتمل
2198,أن يريد أنها,أَن يريد أَنها
2199,مستنبطة من الكتاب,مُسْتَنْبَطة من الكتاب
2200,والسنة فتكون هذه,والسُّنَّة فتكون هذه
2201,الفريضة تعدل بما,الفَريضة تُعْدَل بما
2202,أخذ عنهماوقولهم لا,أُخِذ عنهماوقولهم لا
2203,يقبل له صرف,يُقْبَل له صَرْفٌ
2204,ولا عدل قيل,ولا عَدْلٌ قيل
2205,العدل الفداء ومنه,العَدْل الفِداء ومنه
2206,قوله تعالى وإن,قوله تعالى وإِنْ
2207,تعدل كل عدل,تَعْدِلْ كلَّ عَدْلٍ
2208,لا يؤخذ منها,لا يؤخَذْ منها
2209,أي تفد كل,أَي تَفْدِ كُلَّ
2210,فداءوكان أبو عبيدة,فِداءوكان أَبو عبيدة
2211,يقول وإن تقسط,يقول وإِنْ تُقْسِطْ
2212,كل إقساط لا,كلَّ إِقْساط لا
2213,يقبل منها قال,يُقْبَلْ منها قال
2214,الأزهري وهذا غلط,الأَزهري وهذا غلط
2215,فاحش وإقدام من,فاحش وإِقدام من
2216,أبي عبيدة على,أَبي عبيدة على
2217,تفتدي بكل فداء,تَفْتدي بكل فداء
2218,لا يقبل منها,لا يُقْبَل منها
2219,الفداء يومئذومثله قوله,الفِداءُ يومئذومثله قوله
2220,تعالى يود المجرم,تعالى يَوَدُّ المُجْرِمُ
2221,لو يفتدي من,لو يَفْتَدي من
2222,عذاب يومئذ ببنيه,عذاب يَوْمئذٍ ببَنِيه
2223,الآية أي لا,الآية أَي لا
2224,يقبل ذلك منه,يُقْبَل ذلك منه
2225,ولا ينجيهوقيل العدل,ولا يُنْجيهوقيل العَدْل
2226,الكيل وقيل العدل,الكَيْل وقيل العَدْل
2227,المثل وأصله في,المِثْل وأَصله في
2228,الدية يقال لم,الدِّية يقال لم
2229,يقبلوا منهم عدلا,يَقْبَلوا منهم عَدْلاً
2230,ولا صرفا أي,ولا صَرْفاً أَي
2231,لم يأخذوا منهم,لم يأْخذوا منهم
2232,بقتيلهم رجلا واحدا,بقتيلهم رجلاً واحداً
2233,أي طلبوا منهم,أَي طلبوا منهم
2234,أكثر من ذلك,أَكثر من ذلك
2235,وقيل العدل الجزاء,وقيل العَدْل الجزاء
2236,الأعرابي العدل الاستقامة,الأَعرابي العَدْل الاستقامة
2237,وسيذكر الصرف في,وسيذكر الصَّرْف في
2238,شرب الخمر لم,شَرِبَ الخَمْر لم
2239,يقبل الله منه,يَقْبَل اللهُ منه
2240,صرفا ولا عدلا,صَرْفاً ولا عَدْلاً
2241,أربعين ليلة قيل,أَربعين ليلة قيل
2242,الصرف الحيلة والعدل,الصَّرْف الحِيلة والعَدْل
2243,الفدية وقيل الصرف,الفدْية وقيل الصَّرْف
2244,الدية والعدل السوية,الدِّية والعَدْلُ السَّوِيَّة
2245,وقيل العدل الفريضة,وقيل العَدْل الفريضة
2246,والصرف التطوع وروى,والصَّرْف التطَوُّع وروى
2247,أبو عبيد عن,أَبو عبيد عن
2248,من أحدث فيها,من أَحْدَثَ فيها
2249,حدثا أو آوى,حَدَثاً أَو آوى
2250,محدثا لم يقبل,مُحْدِثاً لم يقبلِ
2251,الله منه صرفا,الله منه صَرْفاً
2252,ولا عدلا روي,ولا عَدْلاً روي
2253,عن مكحول أنه,عن مكحول أَنه
2254,قال الصرف التوبة,قال الصَّرْف التَّوبة
2255,والعدل الفدية قال,والعَدْل الفِدْية قال
2256,أبو عبيد وقوله,أَبو عبيد وقوله
2257,من أحدث فيها,من أَحْدَثَ فيها
2258,حدثا الحدث كل,حَدَثاً الحَدَثُ كلُّ
2259,حد يجب لله,حَدٍّ يجب لله
2260,على صاحبه أن,على صاحبه أَن
2261,يقام عليه والعدل,يقام عليه والعَدْل
2262,القيمة يقال خذ,القِيمة يقال خُذْ
2263,عدله منه كذا,عَدْلَه منه كذا
2264,وكذا أي قيمتهويقال,وكذا أَي قيمتَهويقال
2265,يكن مستقيما حدل,يكن مستقيماً حَدَل
2266,وضده عدل يقال,وضِدُّه عَدَل يقال
2267,هذا قضاء حدل,هذا قضاءٌ حَدْلٌ
2268,غير عدلوعدل عن,غير عَدْلٍوعَدَلَ عن
2269,الشيء يعدل عدلا,الشيء يَعْدِلُ عَدْلاً
2270,وعدولا حاد وعن,وعُدولاً حاد وعن
2271,الطريق جار وعدل,الطريق جار وعَدَلَ
2272,إليه عدولا رجعوما,إِليه عُدُولاً رجعوما
2273,له معدل ولا,لَه مَعْدِلٌ ولا
2274,معدول أي الطريق,مَعْدولٌ أَي الطريقُ
2275,مالويقال أخذ الرجل,مالويقال أَخَذَ الرجلُ
2276,في معدل الحق,في مَعْدِل الحق
2277,ومعدل الباطل أي,ومَعْدِل الباطل أَي
2278,في طريقه ومذهبهويقال,في طريقه ومَذْهَبهويقال
2279,انظروا إلى سوء,انْظُروا إِلى سُوء
2280,معادله ومذموم مداخله,مَعادِله ومذموم مَداخِله
2281,أي إلى سوء,أَي إِلى سوء
2282,مذاهبه ومسالكه وقال,مَذَاهِبه ومَسالِكه وقال
2283,زهير وأقصرت عما,زهير وأَقْصرت عمَّا
2284,تعلمين وسددت علي,تَعلمينَ وسُدِّدَتْ عليَّ
2285,سوى قصد الطريق,سِوى قَصْدِ الطّريق
2286,معادله وفي الحديث,مَعادِلُه وفي الحديث
2287,لا تعدل سارحتكم,لا تُعْدَل سارِحتُكم
2288,أي لا تصرف,أَي لا تُصْرَف
2289,ماشيتكم وتمال عن,ماشيتكم وتُمال عن
2290,المرعى ولا تمنع,المَرْعى ولا تُمنَع
2291,وقول أبي خراش,وقول أَبي خِراش
2292,على أنني إذا,على أَنَّني إِذا
2293,ذكرت فراقهم تضيق,ذَكَرْتُ فِراقَهُم تَضِيقُ
2294,علي الأرض ذات,عليَّ الأَرضُ ذاتُ
2295,المعادل أراد ذات,المَعادِل أَراد ذاتَ
2296,السعة يعدل فيها,السَّعة يُعْدَل فيها
2297,يمينا وشمالا من,يميناً وشمالاً من
2298,أن تعدل الشيء,أَن تَعْدِل الشيءَ
2299,عدلت فلانا عن,عَدَلْت فلاناً عن
2300,طريقه وعدلت الدابة,طريقه وعَدَلْتُ الدابَّةَ
2301,إلى موضع كذا,إِلى موضع كذا
2302,فإذا أراد الاعوجاج,فإِذا أَراد الاعْوِجاجَ
2303,نفسه قيل هو,نفسَه قيل هو
2304,ينعدل أي عنه,يَنْعَدِل أَي عنه
2305,وعادل اعوج قال,وعادَلَ اعْوَجَّ قال
2306,ذو الرمة وإني,ذو الرُّمة وإِني
2307,لأنحي الطرف من,لأُنْحي الطَّرْفَ من
2308,نحو غيرها حياء,نَحْوِ غَيْرِها حَياءً
2309,ولو طاوعته لم,ولو طاوَعْتُه لم
2310,يعادل قوله واني,يُعادِل قوله واني
2311,معناه لم ينعدل,معناه لم يَنْعَدِلْ
2312,لم يعادل أي,لم يُعادِل أَي
2313,لم يعدل بنحو,لم يَعْدِل بنحو
2314,أرضها أي بقصدها,أَرضها أَي بقَصْدِها
2315,نحوا قال ولا,نحواً قال ولا
2316,يكون يعادل بمعنى,يكون يُعادِل بمعنى
2317,أن يعرض لك,أَن يَعْرِض لك
2318,أمران فلا تدري,أَمْرانِ فلا تَدْرِي
2319,إلى أيهما تصير,إِلى أَيِّهما تَصيرُ
2320,فأنت تروى في,فأَنت تَرَوَّى في
2321,الأعرابي وأنشد وذو,الأَعرابي وأَنشد وذُو
2322,الهم تعديه صريمة,الهَمِّ تُعْدِيه صَرِيمةُ
2323,أمره إذا لم,أَمْرِه إِذا لم
2324,تميته الرقى ويعادل,تُميِّتْه الرُّقى ويُعَادِلُ
2325,يقول يعادل بين,يقول يُعادِل بين
2326,الأمرين أيهما يركب,الأَمرين أَيَّهما يَرْكَب
2327,تميته تذلله المشورات,تُميِّتْه تُذَلِّله المَشورات
2328,وقول الناس أين,وقولُ الناس أَين
2329,الشك في أمرين,الشَّكُّ في أَمرين
2330,يقال أنا في,يقال أَنا في
2331,عدال من هذا,عِدالٍ من هذا
2332,الأمر أي في,الأَمر أَي في
2333,شك منه أأمضي,شكٍّ منه أَأَمضي
2334,عليه أم أتركهوقد,عليه أَم أَتركهوقد
2335,عادلت بين أمرين,عادلْت بين أَمرين
2336,أيهما آتي أي,أَيَّهما آتي أَي
2337,ميلت وقول ذي,مَيَّلْت وقول ذي
2338,الرمة إلى ابن,الرمة إِلى ابن
2339,العامري إلى بلال,العامِرِيِّ إِلى بِلالٍ
2340,قطعت بنعف معقلة,قَطَعْتُ بنَعْفِ مَعْقُلَة
2341,العدالا قال الأزهري,العِدالا قال الأَزهري
2342,العرب تقول قطعت,العرب تقول قَطَعْتُ
2343,العدال في أمري,العِدالَ في أَمري
2344,ومضبت على عزمي,ومَضَبْت على عَزْمي
2345,وذلك إذا ميل,وذلك إِذا مَيَّلَ
2346,بين أمرين أيهما,بين أَمرين أَيَّهُما
2347,يأتي ثم استقام,يأْتي ثم استقام
2348,له الرأي فعزم,له الرأْيُ فعَزَم
2349,على أولاهما عندهوفي,على أَوْلاهما عندهوفي
2350,حديث المعراج أتيت,حديث المعراج أُتِيتُ
2351,بإناءين فعدلت بينهما,بإِناءَيْن فَعَدَّلْتُ بينهما
2352,يقال هو يعدل,يقال هو يُعَدِّل
2353,أمره ويعادله إذا,أَمرَه ويُعادِلهُ إِذا
2354,توقف بين أمرين,تَوَقَّف بين أَمرين
2355,أيهما يأتي يريد,أَيَّهُما يأْتي يريد
2356,أنهما كانا عنده,أَنهما كانا عنده
2357,مستويين لا يقدر,مستويَيْنِ لا يقدر
2358,على اختيار أحدهما,على اختيار أَحدهما
2359,عدل عنه يعدل,عَدَل عنه يَعْدِلُ
2360,عدولا إذا مال,عُدولاً إِذا مال
2361,كأنه يميل من,كأَنه يميل من
2362,الواحد إلى الآخر,الواحد إِلى الآخر
2363,وقال المرار فلما,وقال المَرَّار فلما
2364,أن صرمت وكان,أَن صَرَمْتُ وكان
2365,أمري قويما لا,أَمْري قَوِيماً لا
2366,يميل به العدول,يَمِيلُ به العُدولُ
2367,قال عدل عني,قال عَدَلَ عَنِّي
2368,يعدل عدولا لا,يَعْدِلُ عُدُولاً لا
