no_diacritics,with_diacritics
وقد ألأى القوم مثل,وقد أَلأَى القومُ مثل
ألعى إذا وقعوا في,أَلعى إِذا وقعوا في
اللأواء قال أبو عمرو,اللأْواء قال أَبو عمرو
اللألاء الفرح التاموالتأى الرجل,اللأْلاء الفرح التاموالْتَأَى الرجل
أفلس واللأى بوزن اللعا,أَفلَسَ واللأَى بوزن اللَّعا
الثور الوحشي قال اللحياني,الثَّوْر الوحشيّ قال اللحياني
وتثنيته لأيان والجمع ألآء,وتثنيته لأَيان والجمع أَلآء
مثل ألعاع مثل جبل,مثل أَلْعاعٍ مثل جبَل
وأجبال والأنثى لآة مثل,وأَجبال والأُنثى لآة مثل
لعاة ولأى بغير هاء,لَعاةٍ ولأَىً بغير هاء
إنها البقرة من الوحش,إِنها البقرة من الوحش
خاصة أبو عمرو اللأى,خاصة أَبو عمرو اللأَى
البقرة وحكي بكم لآك,البقرة وحكي بكَمْ لآك
هذه أي بقرتك هذه,هذه أَي بقرتُك هذه
قال الطرماح كظهر اللأى,قال الطرماح كظَهْرِ اللأَى
لو يبتغى رية بها,لو يُبْتَغى رَيَّةٌ بها
لعنت وشقت في بطون,لَعَنَّتْ وشَقَّتْ في بُطُون
الشواجن ابن الأعرابي لآة,الشَّواجِنِ ابن الأَعرابي لآةٌ
وألاة بوزن لعاة وعلاةوفي,وأَلاة بوزن لَعاة وعَلاةوفي
حديث أبي هريرة رضي,حديث أَبي هريرة رضي
الله عنه يجيء من,الله عنه يَجِيء من
قبل المشرق قوم وصفهم,قِبَل المَشْرِق قَوم وصفَهم
ثم قال والراوية يومئذ,ثم قال والرّاوية يَومئذٍ
يستقى عليها أحب إلي,يُسْتَقى عليها أَحَبُّ إِليَّ
من لاء وشاء قال,من لاءٍ وشاءٍ قال
ابن الأثير قال القتيبي,ابن الأَثير قال القتيبي
هكذا رواه نقلة الحديث,هكذا رواه نَقَلة الحديث
لاء بوزن ماء وإنما,لاء بوزن ماء وإِنما
ألآء بوزن ألعاع وهي,أَلآء بوزن أَلْعاع وهي
الثيران واحدها لأى بوزن,الثِّيران واحدها لأَىً بوزن
قفا وجمعه أقفاء يريد,قَفاً وجمعه أَقْفاء يريد
بعير يستقى عليه يومئذ,بَعِير يُسْتقى عليه يومئذ
والغنم كأنه أراد الزراعة,والغنم كأَنه أَراد الزراعة
لأن أكثر من يقتني,لأَن أَكثر من يَقْتَني
الثيران والغنم الزراعونولأي ولؤي,الثيران والغنم الزرَّاعونولأْيٌ ولُؤَيُّ
اسمان وتصغير لأي لؤي,اسمان وتصغير لأْي لُؤَيٌّ
ومنه لؤي بن غالب,ومنه لؤيّ بن غالب
أبو قريش قال أبو,أَبو قريش قال أَبو
منصور وأهل العربية يقولون,منصور وأَهل العربية يقولون
هو عامر بن لؤي,هو عامر بن لُؤيّ
بالهمز والعامة تقول لوي,بالهمز والعامة تقول لُوَيّ
من جعله من اللأي,من جعله من اللأْي
لوى الرمل لم يهمزهولأي,لِوَى الرَّمْل لم يهمزهولأْيٌ
نهر من بلاد مزينة,نهر من بلاد مُزَيْنةَ
كثير عزة عرفت الدار,كثير عزة عَرَفْتُ الدَّار
قد أقوت بريم إلى,قدْ أَقْوَتْ برِيمِ إِلى
لأي فمدفع ذي يدوم,لأْيٍ فمَدْفَعِ ذِي يَدُومِ
لأي بفتح فسكون واللائي,لأي بفتح فسكون واللاَّئي
بمعنى اللواتي بوزن القاضي,بمعنى اللَّواتي بوزن القاضي
والداعيوفي التنزيل العزيز واللائي,والدَّاعيوفي التنزيل العزيز واللاَّئي
يئسن من المحيض قل,يَئِسْنَ من المَحِيض قل
اللاؤو فعلوا ذلك يريد,اللاَّؤو فعلوا ذلك يريد
اللاؤون فحذف النون تخفيفا,اللاَّؤون فحذف النون تخفيفاً
والصاد والحاء أصل يدل,والصاد والحاء أصلٌ يدلُّ
على خلوص في شيء,على خُلوصٍ في شيءٍ
ونقاء من الشوب من,ونقاء من الشَّوب من
ذلك اللسان الفصيح الطليقوالكلام,ذلك اللِّسان الفصيح الطَّليقوالكلام
الفصيح العربيوالأصل أفصح اللبن,الفصيح العربيّوالأصلُ أفْصَحَ اللّبَنُ
سكنت رغوتهوأفصح الرجل تكلم,سكنت رَُِغوتُهوأفْصَحَ الرّجل تكلَّم
بالعربيةوفصح جادتلغته حتى لا,بالعربيَّةوفَصُح جادتلغتُه حتَّى لا
يلحن في كتاب ابن,يلحَنُ في كتاب ابن
دريد أفصح العربي إفصاحا,دريد أفصح العربيُّ إفصاحاً
وفصح العجمي فصاحة إذا,وفَصُح العجميُّ فَصاحةً إذا
تكلم بالعربية غلطا والقول,تكلَّم بالعربية غلطاً والقول
هو الأولوحكى فصح اللبن,هو الأوّلوحكَى فَصُحَ اللبنُ
فهو فصيح إذا أخذت,فهو فصيح إذا أُخذت
عنه الرغوة قالويقولون أفصح,عنه الرِّغوة قالويقولون أفصَحَ
الصبح إذا بدا ضوؤه,الصُّبح إذا بدا ضوؤُه
قالوا وكل واضح مفصحويقال,قالوا وكلُّ واضحٍ مُفْصِحٌويقال
إن الأعجم ما لا,إنَّ الأعجم ما لا
ينطق والفصيح ما ينطقومما,ينطق والفصيحَ ما ينطقومما
الفصح عيد النصارى يقال,الفِصْح عيدُ النصارى يقال
أفصحوا جاء فصحهم عرتب,أفصحوا جاء فِصحُهم عرتب
لسان العرب العرتبة الأنف,لسان العرب العَرْتَبةُ الأَنْفُ
وقيل ما لان منه,وقيل ما لانَ منه
وقيل هي الدائرة تحته,وقيل هي الدائرةُ تحته
في وسط الشفة الأزهري,في وَسَطِ الشفةِ الأَزهري
يكونوا فصحاء وقول الله,يكونوا فصحاء وقول اللّه
عز وجل قالت الأعراب,عز وجل قَالَتِ الأَعْرَابُ
آمنا قل لم تؤمنوا,آمَنَّا قُل لَّمْ تُؤْمِنُوا
ولكن قولوا أسلمنا فهؤلاء,وَلَكِن قُولُوا أَسْلَمْنَا فهؤلاء
الله عليه وسلم المدينة,اللّه عليه وسلم المدينة
طمعا في الصدقات لا,طمعاً في الصدقات لا
الله تعالى العرب ومثلهم,اللّه تعالى العرب ومثلْهم
الذين ذكرهم الله في,الذين ذكرهم اللّه في
سورة التوبة فقال الأعراب,سورة التوبة فقال الأَعْرابُ
أشد كفرا ونفاقا الآية,أَشدّ كُفراً ونِفاقاً الآية
التي عند الأنف وسط,التي عند الأَنف وَسَطَ
الشفة العليا العرتمة والعرتبة,الشَّفَةِ العُلْيا العَرْتَمَةُ والعَرْتَبةُ
لغة فيها الجوهري سألت,لغة فيها الجوهري سأَلتُ
عنها أعرابيا من أسد,عنها أَعرابياً من أَسَد
فوضع أصبعه على وترة,فوَضَع أُصْبُعَه على وَتَرةِ
أنفه نحا لسان العرب,أَنفه نحا لسان العرب
الأزهري ثبت عن أهل,الأَزهري ثبت عن أَهل
يونان فيما يذكر المترجمون,يُونانَ فيما يَذْكُر المُتَرْجِمُون
العارفون بلسانهم ولغتهم أنهم,العارِفُون بلسانهم ولغتهم أَنهم
يسمون علم الألفاظ والعناية,يسمون عِلْمَ الأَلفاظ والعِنايةَ
بالبحث عنه نحوا ويقولون,بالبحثْ عنه نَحْواً ويقولون
كان فلان من النحويين,كان فلان من النَّحْوِيينَ
ولذلك سمي يوحنا الإسكندراني,ولذلك سُمي يُوحنَّا الإِسكَنْدَرانيُّ
يحيى النحوي للذي كان,يَحْيَى النَّحْوِيَّ للذي كان
بلغة اليونانيينوالنحو إعراب الكلام,بلغة اليُونانِيِّينوالنَّحْوُ إِعراب الكلام
العربيوالنحو القصد والطريق يكون,العربيوالنَّحْوُ القَصدُ والطَّرِيقُ يكون
ظرفا ويكون اسما نحاه,ظرفاً ويكون اسماً نَحاه
ينحوه وينحاه نحوا وانتحاه,يَنْحُوه ويَنْحاه نَحْواً وانْتَحاه
ونحو العربية منه إنما,ونَحْوُ العربية منه إِنما
هو انتحاء سمت كلام,هو انتِحاء سَمْتِ كلام
العرب في تصرفه من,العرب في تَصَرُّفه من
إعراب وغيره كالتثنية والجمع,إِعراب وغيره كالتثنية والجمع
والتحقير والتكبير والإضافة والنسب,والتحقير والتكبير والإِضافة والنسب
وغير ذلك ليلحق من,وغير ذلك ليَلْحَق مَن
ليس من أهل اللغة,ليس من أَهل اللغة
العربية بأهلها في الفصاحة,العربية بأَهلها في الفصاحة
فينطق بها وإن لم,فيَنطِق بها وإِن لم
يكن منهم أو إن,يكن منهم أَو إِن
شذ بعضهم عنها رد,شَذَّ بعضهم عنها رُدَّ
به إليها وهو في,به إِليها وهو في
الأصل مصدر شائع أي,الأَصل مصدر شائع أَي
نحوت نحوا كقولك قصدت,نَحَوْتُ نَحْواً كقولك قَصَدْت
قصدا ثم خص به,قَصْداً ثم خُص به
انتحاء هذا القبيل من,انْتِحاء هذا القَبيل من
العلم كما أن الفقه,العلم كما أَن الفِقه
في الأصل مصدر فقهت,في الأَصل مصدر فَقِهْت
الشيء أي عرفته ثم,الشيء أَي عَرَفته ثم
خص به علم الشريعة,خُص به علم الشريعة
أن بيت الله عز,أَن بيت الله عز
وجل خص به الكعبة,وجل خُص به الكعبة
شائعا في جنسه على,شائعاً في جنسه على
أحد أنواعه وقد استعملته,أَحد أَنواعه وقد استعملته
العرب ظرفا وأصله المصدر,العرب ظَرْفاً وأَصله المصدر
وأنشد أبو الحسنترمي الأماعيز,وأَنشد أَبو الحسنتَرْمِي الأَماعِيزَ
بمجمرات بأرجل روح مجنبات,بمُجْمَراتِ بأَرْجُلٍ رُوحٍ مُجَنَّباتِ
يحدو بها كل فتى,يَحْدُو بها كلُّ فَتًى
هيات وهن نحو البيت,هَيّاتٍ وهُنَّ نَحْوَ البيتِ
عامدات والجمع أنحاء ونحو,عامِداتِ والجمع أَنْحاء ونُحُوٌّ
قال سيبويه شبهوها بعتو,قال سيبويه شبهوها بعُتُوٍّ
العرب إنكم لتنظرون في,العرب إِنَّكم لَتَنْظُرون في
نحو كثيرة أي في,نُحُوٍّ كثيرة أَي في
ضروب من النحو شبهها,ضُروب من النَّحو شبهها
بعتو والوجه في مثل,بعُتُوٍّ والوجه في مثل
هذه الواوات إذا جاءت,هذه الواوات إِذا جاءت
في جمع الياء كقولهم,في جمعٍ الياءُ كقولهم
في جمع ثدي ثدي,في جمع ثَدْي ثُدِيٌّ
وعصي وحقي الجوهري يقال,وعُصِيٌّ وحُقِيٌّ الجوهري يقال
نحوت نحوك أي قصدت,نَحَوْتُ نَحْوَك أَي قَصَدْتُ
قصدك التهذيب وبلغنا أن,قَصْدَك التهذيب وبَلَغنا أَنّ
أبا الأسود الدؤلي وضع,أَبا الأَسود الدُّؤليَّ وضع
وجوه العربية وقال للناس,وجُوه العربية وقال للناس
انحوا نحوه فسمي نحوا,انْحُوا نحْوه فسمي نَحْواً
ابن السكيت نحا نحوه,ابن السكيت نَحا نَحْوَه
إذا قصده ونحا الشيء,إِذا قصده ونَحا الشيءَ
ينهاه وينحوه إذا حرفه,يَنْهاه ويَنْحُوه إِذا حَرَّفه
ومنه سمي النحوي لأنه,ومنه سمي النَّحْوِيُّ لأَنه
يحرف الكلام إلى وجوه,يُحرّف الكلام إِلى وجوه
الإعراب ابن بزرج نحوت,الإِعراب ابن بزرج نَحَوْت
الشيء أممته أنحوه وأنحاهونحيت,الشيء أَمَمْتُه أَنْحُوه وأَنْحاهونَحَّيْتُ
كذا في الأصل مضبوطا,كذا في الأصل مضبوطاً
عن ونحوته وأنشد فلم,عن ونَحَوْته وأَنشد فلم
يبق إلا أن ترى,يَبْقَ إِلاَّ أَن تَرَى
في محله رمادا نحت,في مَحَلِّه رَماداً نَحَتْ
عنه السيول جنادله ورجل,عنه السُّيولَ جَنادِلُهْ ورجل
ناح من قوم نحاة,ناحٍ من قوم نُحاةٍ
نحوي وكأن هذا إنما,نَحْوِيٌّ وكأَنَّ هذا إِنما
تامر ولابن الليث النحو,تامرٌ ولابِنٌ الليث النَّحْوُ
القصد نحو الشيءوأنحى عليه,القَصْدُ نَحْوَ الشيءوأَنْحَىْ عليه
وانتحى عليه إذا اعتمد,وانْتَحَى عليه إِذا اعتمد
عليه ابن الأعرابي أنحى,عليه ابن الأَعرابي أَنْحَى
ونحى وانتحى أي اعتمد,ونَحَى وانْتَحَى أَي اعْتَمَدَ
على الشيءوانتحى له وتنحى,على الشيءوانْتَحَى له وتَنَحَّى
له اعتمدوتنحى له بمعنى,له اعتمدوتَنَحَّى له بمعنى
نحا له وانتحى وأنشد,نَحا له وانْتَحَى وأَنشد
تنحى له عمرو فشك,تَنحَّى له عَمْرٌو فَشَكَّ
ضلوعه بمدرنفق الخلجاء والنقع,ضُلُوعَه بِمُدْرَنْفِقِ الخَلْجاء والنَّقْعُ
ساطع وفي حديث ابن,ساطِعُ وفي حديث ابن
أنه رأى رجلا تنحى,أَنه رأْى رجلاً تَنحَّى
في سجوده فقال لا,في سُجُوده فقال لا
تشينن صورتك قال شمر,تَشِينَنَّ صُورَتَكَ قال شمر
الانتحاء في السجود الاعتماد,الانْتحاء في السجود الاعْتِمادُ
على الجبهة والأنف حتى,على الجبهة والأَنف حتى
يؤثر فيهما ذلك الأزهري,يُؤثِّر فيهما ذلك الأَزهري
مناذر الترح الهبوط قوله,مُناذر التَّرَحُ الهَبوط قوله
اللسان خطأ وأنشد كأن,اللسان خطأ وأَنشد كأَنَّ
جرس القتب المضبب إذا,جَرْسَ القَتَبِ المُضَبَّبِ إِذا
انتحى بالترح المصوب قال,انْتَحَى بالتَّرَحِ المُصَوَّبِ قال
الانتحاء أن يسقط هكذا,الانْتِحاء أَن يَسْقُط هكذا
وقال بيده بعضها فوق,وقال بيده بعضُها فوق
أن يسقط جبينه إلى,أَن يسقط جبينه إِلى
الأرض ويشده ولا يعتمد,الأَرض ويشدَّه ولا يعتمد
على جبينه قال الأزهري,على جبينه قال الأَزهري
شمر وكنت سألت ابن,شمر وكنت سأَلت ابن
فدعا بدواته فكتبه بيدهوانتحيت,فدَعا بدواته فكتبه بيدهوانْتَحَيْت
لفلان أي عرضت له,لفلان أَي عَرَضْت له
ملحان فانتحى له عامر,مِلْحان فانْتَحَى له عامر
بن الطفيل فقتله أي,بن الطُّفَيل فقَتَله أَي
عرض له وقصدوفي الحديث,عَرَضَ له وقَصَدوفي الحديث
فانتحاه ربيعة أي اعتمده,فانْتَحاه رَبيعَةُ أَي اعْتَمَدَه
بالكلام وقصدهوفي حديث الخضر,بالكلام وقَصَدهوفي حديث الخضر
عليه السلام وتنحى له,عليه السلام وتَنَحِّى له
أي اعتمد خرق السفينةوفي,أَي اعْتَمَد خَرْقَ السًّفينةِوفي
عنها فلم أنشب حتى,عنها فلم أَنْشَبْ حتى
أنحيت عليهاوقال ابن الأثير,أَنْحَيْتُ عليهاوقال ابن الأثير
قد تنحى في برنسه,قد تَنحَّى في بُرْنُسِه
وقام الليل في حندسه,وقامَ الليلَ في حِنْدِسِه
أي تعمد العبادة وتوجه,أَي تَعَمَّدَ العِبادة وتوجَّه
لها وصار في ناحيتها,لها وصار في ناحِيتها
وتجنب الناس وصار في,وتَجَنَّب الناس وصار في
ناحية منهم وأنحيت على,ناحية منهم وأَنْحَيْتُ على
حلقه السكين أي عرضت,حَلقه السِّكين أَي عَرَضْتُ
وأنشد ابن بري أنحى,وأَنشد ابن بري أَنْحَى
على ودجي أنثى مرهفة,على وَدَجَيْ أُنْثَى مُرَهَّفةً
مشحوذة وكذاك الإثم يقترف,مَشْحُوذةً وكذاكَ الإثْمُ يُقْتَرَفْ
وأنحى عليه ضربا أقبل,وأََنْحَى عليه ضرباً أَقبَلَ
وأنحى له السلاح ضربه,وأَنْحَى له السِّلاح ضَرَبه
بها أو طعنه أو,بها أَو طَعَنَه أَو
رماه وأنحى له بسهم,رَماه وأَنْحَى له بِسَهْم
أو غيره من السلاحوتنحى,أَو غيره من السلاحوتَنَحَّى
وانتحى اعتمد يقال انتحى,وانْتَحى اعْتَمَدَ يقال انْتَحَى
له بسهم ونحا عليه,له بسهم ونَحا عليه
بشفرته ونحا له بسهم,بشُفْرته ونحا له بسهم
ونحا الرجل وانتحى مال,ونحا الرَّجل وانْتَحَى مالَ
على أحد شقيه أو,على أَحد شِقَّيْهِ أَو
انحنى في قوسهوأنحى في,انْحَنى في قَوْسِهوأَنْحَى في
سيره أي اعتمد على,سَيره أَي اعْتَمَد على
الجانب الأيسر قال الأصمعي,الجانب الأَيسر قال الأَصمعي
الانتحاء في السير الاعتماد,الانتحاء في السير الاعْتماد
على الجانب الأيسر ثم,على الجانب الأَيسر ثم
وجه قال رؤبة منتحيا,وجه قال رؤبة مُنْتَحِياً
من نحوه على وفق,مِنْ نَحْوِه على وُفَقْ
ابن سيده والانتحاء اعتماد,ابن سيده والانْتِحاءُ اعْتِمادُ
الإبل في سيرها على,الإِبل في سيرها على
الجانب الأيسر ثم صار,الجانب الأَيسر ثم صار
الانتحار الميل والاعتماد في,الانْتِحار المَيلُ والاعْتماد في
كل وجه وأنشد ابن,كل وجه وأَنشد ابن
إذا ما انتحاهن شؤبوبه,إذا ما انْتحاهُنَّ شُؤْبُوبُه
أي اعتمدهنونحوت بصري إليه,أَي اعْتَمَدهنونَحَوْتُ بَصَرِي إليه
أي صرفتونحا إليه بصره,أَي صرَفْتونَحا إليه بصَره
ينحوه وينحاه صرفهوأنحيت إليه,يَنْحُوه ويَنْحاه صرَفهوأَنْحَيْتُ إليه
بصري عدلته وقول طريف,بصَري عَدَلْتُه وقول طريف
العبسي نحاه للحد زبرقان,العبسي نَحاهُ لِلَحْدٍ زبْرِقانُ
وحرث وفي الأرض للأقوام,وحرِثٌ وفي الأَرض لِلأَقْوامِ
بعدك غول أي صيرا,بَعْدَكَ غُولُ أَي صَيَّرا
القبرونحيت بصري إليه صرفته,القبرونَحَيْتُ بَصَري إليه صَرَفْته
التهذيب شمر انتحى لي,التهذيب شمر انْتَحى لي
ذلك الشيء إذا اعترض,ذلك الشيءُ إذا اعتَرَض
له واعتمده وأنشد للأخطل,له واعتمدَه وأَنشد للأَخطل
وأهجرك هجرانا جميلا وينتحي,وأَهْجُرْكَ هِجْراناً جَمِيلاً ويَنْتَحي
لنا من ليالينا العوارم,لنا من لَيالِينا العَوارِمِ
أول قال ابن الأعرابي,أَوَّلُ قال ابن الأَعرابي
ينتحي لنا يعود لنا,يَنْتَحي لنا يَعودُ لنا
والعوارم القباح ونحى الرجل,والعَوارِمُ القِباحُ ونَحَى الرجلَ
صرفه قال العجاج لقد,صَرَفَه قال العجاج لقد
نحاهم جدنا والناحي ابن,نَحَاهُم جَدُّنا والناحي ابن
سيده والنحواء الرعدة وهي,سيده والنُّحَواء الرِّعْدة وهي
أيضا التمطي قال شبيب,أَيضاً التَّمَطِّي قال شَبِيب
بن البرصاء وهم تأخذ,بن البَرْصاء وهَمٌّ تأْخُذُ
النحواء منه يعل بصالب,النُّحَواءُ منه يُعَلُّ بصالِبٍ
أو بالملال وانتحى في,أَو بالمُلالِ وانْتَحى في
الشيء جدوانتحى الفرس في,الشيء جَدَّوانتحى الفرَس في
جريه أي جدوالنحي والنحي,جَرْيه أَي جَدَّوالنَّحْيُ والنَّحْيُ
والنحى الزق وقيل هو,والنَّحَى الزِّقُّ وقيل هو
ما كان للسمن خاصة,ما كان للسمْن خاصة
الأزهري النحي عند العرب,الأَزهري النِّحْيُ عند العرب
الزق الذي فيه السمن,الزِّقُ الذي فيه السمن
ومنه قصة ذات النحيين,ومنه قِصَّةُ ذاتِ النِّحْيَيْنِ
المثل المشهور أشغل من,المَثَلِ المشهور أَشْغَلُ مِن
ذات النحيين وهي امرأة,ذاتِ النِّحَيَيْن وهي امرأَة
من تيم الله بن,من تَيْمِ الله بن
ثعلبة وكانت تبيع السمن,ثعْلَبةَ وكانت تَبِيع السمن
في الجاهلية فأتى خوات,في الجاهلية فأَتى خَوَّاتُ
بن جبير الأنصاري يبتاع,بن جُبَيْر الأَنصاري يَبتاع
منها سمنا فساومها فحلت,منها سَمناً فساوَمَها فحلَّت
نحيا مملوءا فقال أمسكيه,نِحْياً مَمْلُوءاً فقال أَمْسِكِيه
حتى أنظر غيره ثم,حتى أَنظر غيره ثم
حل آخر وقال لها,حلَّ آخر وقال لها
أمسكيه فلما شغل يديها,أَمسكيه فلما شَغل يديها
ساورها حتى قضى ما,ساوَرَها حتى قَضى ما
أراد وهرب فقال في,أَراد وهرَب فقال في
ذلك وذات عيال واثقين,ذلك وذاتِ عِيالٍ واثقِينَ
بعقلها خلجت لها جار,بِعَقْلِها خَلَجْتُ لها جارَ
استها خلجات وشدت يديها,اسْتِها خَلَجاتِ وشَدَّتْ يَدَيْها
إذ أردت خلاطها بنحيين,إذ أَرَدْتُ خِلاطَها بنِحْيَيْنِ
من سمن ذوي عجرات,مِن سَمْنٍ ذَوَي عُجَراتِ
فكانت لها الويلات من,فكانتْ لها الوَيْلاتُ مِنْ
ترك سمنها ورجعتها صفرا,تَرْكِ سَمْنِها ورَجْعَتِها صِفْراً
بغير بتات فشدت على,بغير بتاتِ فشَدَّتْ على
النحيين كفا شحيحة على,النِّحْيَيْنِ كَفّاً شَحِيحةً على
سمنها والفتك من فعلاتي,سَمْنِها والفَتْكُ مِن فَعَلاتي
في رواية خوات بن,في رواية خَوَّات بن
جبير فشدت على النحيين,جُبَيْر فشدَّت على النحيين
كفي شحيحة تثنية كف,كَفَّيْ شَحيحةٍ تثنية كفّ
ثم أسلم خوات وشهد,ثم أَسْلم خَوَّاتٌ وشهد
بدرا فقال له رسول,بدراً فقال له رسول
وسلم كيف شرادك وتبسم,وسلم كيف شِرادُك وتَبَسَّمَ
رسول الله قد رزق,رسول الله قد رَزَقَ
الله خيرا وأعوذ بالله,الله خيراً وأَعوذ بالله
من الحو ر بعد,من الحَوْ رِ بَعدَ
الكور وهجا العديل بن,الكَوْرِ وهَجا العُدَيلُ بن
الفرخ بني تيم الله,الفَرْخِ بني تَيمِ اللهِ
فقال تزحزح يا ابن,فقال تَزَحْزَحَ يا ابنَ
تيم الله عنا فما,تَيْمِ اللهِ عَنَّا فَما
بكر أبوك ولا تميم,بَكْرٌ أَبُوكَ ولا تَمِيمُ
لكل قبيلة بدر ونجم,لكُلِّ قَبِيلةٍ بَدرٌ ونجْمٌ
وتيم الله ليس لها,وتَيْمُ الله ليس لها
نجوم أناس ربة النحيين,نُجُومُ أُناسٌ رَبَّةُ النِّحْيَيْنِ
منهم فعدوها إذا عد,مِنْهُمْ فُعُدُّوها إذا عُدَّ
الصميم قال ابن بري,الصَّمِيمُ قال ابن بري
أنها امرأة من هذيل,أَنها امرأَة من هذيل
وهي خولة أم بشر,وهي خَوْلة أُم بشر
بن عائذ ويحكى أن,بن عائذ ويحكى أَن
أسديا وهذليا افتخرا ورضيا,أَسَدِيًّا وهُذَليًّا افتخرا ورضيا
بإنسان يحكم بينهما فقال,بإِنسان يحكم بينهما فقال
يا أخا هذيل كيف,يا أَخا هذيل كيف
تفاخرون العرب وفيكم خلال,تُفاخِرُون العرب وفيكم خِلال
ثلاث منكم دليل الحبشة,ثلاث منكم دليل الحَبَشة
على الكعبة ومنكم خولة,على الكعبة ومنكم خَولةُ
ذات النحيين وسألتم رسول,ذاتُ النَّحيين وسأَلتم رسول
وسلم أن يحلل لكم,وسلم أَن يُحلِّلَ لكم
الزنا قال ويقوي قول,الزنا قال ويُقَوِّي قول
الله ما أنشده في,الله ما أَنشده في
هجائهم أناس ربة النحيين,هجائهم أُناس ربة النحيين
منهم وجمع النحي أنحاء,منهم وجمع النِّحْي أَنحاء
ونحي ونحاء عن سيبويه,ونُحِيٌّ ونِحاء عن سيبويه
والنحي أيضا جرة فخار,والنِّحْي أَيضاً جَرْةُ فَخّار
يجعل فيها اللبن ليمخضوفي,يجعل فيها اللبن ليُمخضوفي
الممخوض الأزهري العرب لا,المَمْخُوض الأَزهري العرب لا
تعرف النحي غير الزق,تعرف النِّحْيَ غير الزق
الجرة يمخض فيها اللبن,الجَرَّةُ يُمْخَض فيها اللبن
غير صحيح ونحى اللبن,غير صحيح ونَحى اللبنَ
ينحيه وينحاه مخضه وأنشد,يَنْحِيهِ ويَنْحاه مَخَضه وأَنشد
في قعر نحي أستثير,في قَعْرِ نِحْيٍ أَستَثيرُ
حمه والنحي ضرب من,حُمَّهْ والنِّحْيُ ضَرْب من
الرطب عن كراعونحى الشيء,الرُّطَب عن كراعونَحى الشيء
ينحاه نحيا ونحاه فتنحى,يَنْحاه نَحْياً ونَحَّاه فتَنَحَّى
أزاله التهذيب يقال نحيت,أَزاله التهذيب يقال نَحَّيْت
فلانا فتنحى وفي لغة,فلاناً فتَنَحَّى وفي لغة
نحيته وأنا أنحاه نحيا,نَحَيْتُه وأَنا أَنْحاه نَحْياً
بمعناه وأنشد ألا أيهذا,بمعناه وأَنشد أَلا أَيُّهذا
الباخع الوجد نفسه لشيء,الباخِعُ الوَجْدُ نفْسَه لِشيءٍ
نحته عن يديه المقادر,نَحَتْهُ عن يَدَيْهِ المَقادِرُ
أي باعدتهونحيته عن موضعه,أَي باعَدَتْهونَحَّيْته عن موضعه
تنحية فتنحى وقال الجعدي,تَنْحِيةً فتنحَّى وقال الجعدي
أمر ونحي عن زوره,أُمِرَّ ونُحِّيَ عن زَوْرِه
كتنحية القتب المجلب ويقال,كتَنْحِيةِ القَتَبِ المُجْلَبِ ويقال
فلان نحية القوارع إذا,فلان نَحِيَّةُ القَوارِعِ إذا
كانت الشدائد تنتحيه وأنشد,كانت الشَّدائد تَنْتَحِيه وأَنْشد
نحية أحزان جرت من,نَحِيَّةُ أَحْزانٍ جَرَتْ مِنْ
جفونه نضاضة دمع مثل,جُفُونِه نُضاضةُ دَمْعٍ مِثْلُ
ما دمع الوشل ويقال,ما دَمَعَ الوَشَلْ ويقال
استخذ فلان فلانا أنحية,استَخَذَ فلانٌ فلاناً أُنْحِيَّةً
أي انتحى عليه حتى,أَي انْتَحى عليه حتى
أهلك ما له أو,أَهلَك ما لَه أو
ضره أو جعل به,ضَرّه أَو جَعلَ به
شرا وأنشد إني إذا,شَرًّا وأَنشد إني إذا
ما القوم كانوا أنحيه,ما القوْمُ كانوا أُنْحِيَهْ
أي انتحوا عن عمل,أَي انْتَحَوْا عن عمل
يعملونه الليث كل من,يَعملونه الليث كل مَن
جد في أمر فقد,جدَّ في أَمرٍ فقد
انتحى فيه كالفرس ينتحي,انْتحى فيه كالفرس يَنْتَحي
في عدوهوالناحية من كل,في عَدْوهوالنَّاحِيةُ من كل
شيء جانبه والناحية واحدة,شيء جانِبه والناحية واحدة
النواحي وقول عتي بن,النَّواحي وقول عُتيِّ بن
مالك لقد صبرت حنيفة,مالك لقد صَبَرَتْ حَنيفة
صبر قوم كرام تحت,صَبْرَ قَوْمٍ كِرامٍ تَحتَ
أظلال النواحي فإنما يريد,أَظْلال النَّواحِي فإنما يريد
نواحي السيوف وقيل أراد,نَواحي السُّيوف وقيل أَراد
النوائح فقلب يعني الرايات,النَّوائح فقلب يعني الرَّايات
المتقابلات ويقال الجبلان يتناوحان,المُتقابلات ويقال الجبلان يَتناوَحانِ
إذا كانا متقابلينوالناحية والناحاة,إذا كانا متقابلينوالناحِيةُ والنَّاحاة
كل جانب تنحى عن,كل جانب تَنَحَّى عن
القرار كناصية وناصاة وقوله,القَرار كناصِيةٍ وناصاةٍ وقوله
ألكني إليها وخير الرسو,أَلِكْني إلَيْها وخَيْرُ الرَّسُو
ل أعلمهم بنواحي الخبر,لِ أَعْلَمُهمْ بنَواحِي الخَبَرْ
إنما يعني أعلمهم بنواحي,إنما يَعْني أَعلَمهم بنَواحي
الكلاموإبل نحي متنحية عن,الكلاموإبِل نَحِيٌّ مُتَنَحِّيةٌ عن
ابن الأعرابي وأنشد ظل,ابن الأَعرابي وأَنشد ظَلَّ
